CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,RPT_DT,Latitude,Longitude,Lat_Lon,index_right,BoroCode,BoroName,NTA_Code_x,NTAName,NTAAbbrev,NTAType,CDTA2020,CDTAName,Shape_Leng,Shape_Area,Neighborhood,Population_x,Borough,Year,FIPS County Code,NTA_Code_y,Population_y
289895711,F,ROBBERY,7/11/2024,40.63773205,-74.13209281,"(40.63773204802251, -74.13209281256006)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
294884726,M,PETIT LARCENY,10/13/2024,40.632928,-74.001471,"(40.632928, -74.001471)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2000,47,BK88,101055
294884726,M,PETIT LARCENY,10/13/2024,40.632928,-74.001471,"(40.632928, -74.001471)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2010,47,BK88,106357
281715292,F,DANGEROUS WEAPONS,2/5/2024,40.6343253,-74.13718058,"(40.634325295480146, -74.1371805798058)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
281715292,F,DANGEROUS WEAPONS,2/5/2024,40.6343253,-74.13718058,"(40.634325295480146, -74.1371805798058)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
298558455,M,PETIT LARCENY,12/27/2024,40.624427,-74.139776,"(40.624427, -74.139776)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
298558455,M,PETIT LARCENY,12/27/2024,40.624427,-74.139776,"(40.624427, -74.139776)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
281097312,F,THEFT-FRAUD,1/25/2024,40.570437,-74.114625,"(40.570437, -74.114625)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
281097312,F,THEFT-FRAUD,1/25/2024,40.570437,-74.114625,"(40.570437, -74.114625)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
293423414,M,VEHICLE AND TRAFFIC LAWS,9/17/2024,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
293423414,M,VEHICLE AND TRAFFIC LAWS,9/17/2024,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
